1,114.9589
1,125.7345
1,125.6766
1,136.4015
1,136.3215
1,210.8564
1,105.1555
1,115.9294
1,181.3992
1,260.2513
1,198.9828
1,200.176
1,310.1649
1,479.2979
4,125.349
2,353.8254
1,769.9018
2,170.8292
2,237.4306
5,235.0248
3,189.8553
3,313.8633
3,468.2646
2,333.7509
2,184.1048
4,377.9831
1,902.9877
4,285.3663
2,781.5143
1,1016.04
3,220.5775
2,418.8511
2,561.1405
2,319.1541
4,251.7141
3,512.7127
4,298.3153
3,474.2867
3,420.438
3,319.7693
4,203.7916
3,356.7306
4,274.8621
5,205.508
3,536.5162
3,209.042
4,417.8049
3,233.7644
5,208.2573
5,283.8747
6,191.1191
2,439.4314
3,301.1472
2,309.4313
3,394.919
5,376.3526
5,257.6216
6,181.0826
4,486.9346
1,956.0622
3,195.3503
2,605.9383
3,597.6266
2,591.0649
3,269.9637
3,185.7247
5,423.6871
2,548.0788
3,296.1272
5,197.37
2,510.9905
5,151.3217
4,421.5139
5,372.0192
5,356.0123
1,1404.549
1,1238.605
2,430.8944
4,462.3195
5,384.1307
2,328.3499
2,545.8694
3,403.2136
5,151.1526
7,223.8702
4,587.4777
4,380.8653
6,315.9467
4,555.6891
5,420.605
5,371.4554
5,193.1997
8,240.7671
4,822.3897
6,396.1482
5,423.5603
8,235.6003
5,569.5522
8,317.3727
9,229.7766
7,227.6052
7,304.3446
8,212.271
7,351.6971
7,305.9384
8,262.6429
6,426.9269
6,520.2558
5,687.9655
7,531.1718
7,420.4263
6,432.3404
7,390.3735
8,339.9001
6,668.6459
1,423.1382
